source_genesymbol	target_genesymbol	regulation	source
E2F1	AR	-1	dorothea
E2F1	ASF1B	1	dorothea
E2F1	ATG10	1	dorothea
E2F1	ATM	1	dorothea
E2F1	AURKA	1	dorothea
E2F1	AXIN2	1	dorothea
E2F1	B4GALT1	1	dorothea
E2F1	BBC3	1	dorothea
E2F1	BCL2	1	dorothea
E2F1	BIN1	1	dorothea
E2F1	BIRC5	1	dorothea
E2F1	BMI1	1	dorothea
E2F1	BNIP3	1	dorothea
E2F1	BRCA1	1	dorothea
E2F1	CASP7	1	dorothea
E2F1	CCNA2	1	dorothea
E2F1	CCND1	1	dorothea
E2F1	CCND3	1	dorothea
E2F1	CCNE1	1	dorothea
E2F1	CD2AP	1	dorothea
E2F1	CDAN1	1	dorothea
E2F1	CDC25A	1	dorothea
E2F1	CDC45	1	dorothea
E2F1	CDC6	1	dorothea
E2F1	CDCA4	1	dorothea
E2F1	CDCA7	1	dorothea
E2F1	CDK1	1	dorothea
E2F1	CDKN1A	1	dorothea
E2F1	CDKN1C	1	dorothea
E2F1	CDKN2A	1	dorothea
E2F1	CDKN2C	1	dorothea
E2F1	CDT1	1	dorothea
E2F1	CTNNBIP1	1	dorothea
E2F1	CTNND2	1	dorothea
E2F1	DAPK2	1	dorothea
E2F1	DBF4	1	dorothea
E2F1	DHFR	1	dorothea
E2F1	DIRAS3	-1	dorothea
E2F1	DNMT1	1	dorothea
E2F1	DRAM1	1	dorothea
E2F1	DTL	1	dorothea
E2F1	DUSP1	1	dorothea
E2F1	E2F6	1	dorothea
E2F1	ECT2	1	dorothea
E2F1	ERCC1	1	dorothea
E2F1	ETV4	1	dorothea
E2F1	FANCA	1	dorothea
E2F1	FANCD2	1	dorothea
E2F1	FBXO43	1	dorothea
E2F1	FBXO5	1	dorothea
E2F1	FGFR1	1	dorothea
E2F1	FHIT	-1	dorothea
E2F1	FLT1	1	dorothea
E2F1	FOXM1	1	dorothea
E2F1	GMNN	1	dorothea
E2F1	H2AC17	1	dorothea
E2F1	HDAC1	1	SIGNOR
E2F1	HELLS	1	dorothea
E2F1	HMGA1	1	dorothea
E2F1	HOXB9	1	dorothea
E2F1	HSPA5	-1	dorothea
E2F1	IRF3	-1	dorothea
E2F1	ISYNA1	1	dorothea
E2F1	JUN	1	dorothea
E2F1	KDR	1	dorothea
E2F1	KIF23	1	dorothea
E2F1	KIF2C	1	dorothea
E2F1	KIR3DL1	1	dorothea
E2F1	MAP1LC3A	1	dorothea
E2F1	MAP1LC3B	1	dorothea
E2F1	MAP3K5	1	dorothea
E2F1	MAPK1	1	dorothea
E2F1	MCM10	1	dorothea
E2F1	MCM5	1	dorothea
E2F1	MCM6	1	dorothea
E2F1	MCM7	1	dorothea
E2F1	MCM8	1	dorothea
E2F1	MCPH1	1	dorothea
E2F1	MDM2	-1	dorothea
E2F1	MEFV	1	dorothea
E2F1	MT1G	1	dorothea
E2F1	MUC4	1	dorothea
E2F1	MYB	1	dorothea
E2F1	MYBL2	1	dorothea
E2F1	MYC	1	dorothea
E2F1	MYCN	1	dorothea
E2F1	NCOA3	1	dorothea
E2F1	NPAT	1	dorothea
E2F1	PCNA	1	dorothea
E2F1	PCSK6	1	dorothea
E2F1	PDK4	1	dorothea
E2F1	PLK1	1	dorothea
E2F1	PLK4	1	dorothea
E2F1	PNRC2	-1	dorothea
E2F1	POLA1	1	dorothea
E2F1	POLD1	1	dorothea
E2F1	POLE2	1	dorothea
E2F1	PPARG	1	dorothea
E2F1	PPP1R13B	1	dorothea
E2F1	PTPRO	1	dorothea
E2F1	RACGAP1	1	dorothea
E2F1	RAD51	1	dorothea
E2F1	RASGEF1B	1	dorothea
E2F1	RASGRP1	1	dorothea
E2F1	RB1	1	dorothea
E2F1	RBM38	1	dorothea
E2F1	RELA	1	dorothea
E2F1	RRM1	1	dorothea
E2F1	RRM2	1	dorothea
E2F1	RRP1B	1	dorothea
E2F1	SERPINE1	-1	dorothea
E2F1	SIAH1	1	dorothea
E2F1	SKP2	1	dorothea
E2F1	SP3	-1	dorothea
E2F1	TERT	-1	dorothea
E2F1	TFDP1	1	SIGNOR
E2F1	THBS1	1	dorothea
E2F1	TK1	1	dorothea
E2F1	TNFSF11	1	dorothea
E2F1	TOP1	1	dorothea
E2F1	TOP2A	1	dorothea
E2F1	TP53BP2	1	dorothea
E2F1	TYMS	1	dorothea
E2F1	UHRF1	1	dorothea
E2F1	ULK1	1	dorothea
E2F1	USP37	1	SIGNOR
E2F1	VEGFA	-1	dorothea
E2F1	WWOX	-1	dorothea
E2F1	XRCC1	1	dorothea
E2F1	YBX3	1	dorothea
E2F1	ZEB1	1	dorothea
E2F1	ZNF350	-1	dorothea
E2F2	ASF1B	1	dorothea
E2F2	CDC6	1	dorothea
E2F2	CDCA4	1	dorothea
E2F2	CDCA7	1	dorothea
E2F2	CDT1	1	dorothea
E2F2	E2F1	1	dorothea
E2F2	MAP3K5	1	dorothea
E2F2	MCM10	1	dorothea
E2F2	MCM5	1	dorothea
E2F2	MCM6	1	dorothea
E2F2	MCM7	1	dorothea
E2F2	MYCN	1	dorothea
E2F2	PLK1	1	dorothea
E2F2	PLK4	1	dorothea
E2F2	TFDP1	1	SIGNOR
E2F3	AURKA	1	dorothea
E2F3	CDC6	1	dorothea
E2F3	CDKN1A	1	dorothea
E2F3	CDKN2A	1	dorothea
E2F3	E2F1	1	dorothea
E2F3	MAP3K5	1	dorothea
E2F3	MCM5	1	dorothea
E2F3	MCM6	1	dorothea
E2F3	MCM7	1	dorothea
E2F3	MYCN	1	dorothea
E2F3	PLK1	1	dorothea
E2F3	TFDP1	1	SIGNOR
E2F3	TP53BP2	1	dorothea
E2F4	ASF1B	1	dorothea
E2F4	BRCA1	-1	dorothea
E2F4	CCND1	1	dorothea
E2F4	CDC25A	1	dorothea
E2F4	CDC6	1	dorothea
E2F4	CDCA4	1	dorothea
E2F4	CDCA7	1	dorothea
E2F4	CDK1	1	dorothea
E2F4	CDKN2C	1	dorothea
E2F4	CDT1	1	dorothea
E2F4	DIRAS3	-1	dorothea
E2F4	E2F1	-1	dorothea
E2F4	FBXO5	1	dorothea
E2F4	GMNN	1	dorothea
E2F4	HCFC1	1	dorothea
E2F4	IKBKG	-1	dorothea
E2F4	JUN	1	dorothea
E2F4	KATNAL1	-1	dorothea
E2F4	LUC7L	-1	dorothea
E2F4	MAP3K5	1	dorothea
E2F4	MCM10	-1	dorothea
E2F4	MCM5	1	dorothea
E2F4	MCM7	1	dorothea
E2F4	NPAT	1	dorothea
E2F4	P4HA2	-1	dorothea
E2F4	PCLAF	-1	dorothea
E2F4	PLK1	-1	dorothea
E2F4	POLD1	1	dorothea
E2F4	PPARG	-1	dorothea
E2F4	RAD51	-1	dorothea
E2F4	SLC2A13	1	dorothea
E2F4	TK1	1	dorothea
E2F4	TOPBP1	-1	dorothea
E2F4	TTK	-1	dorothea
E2F5	CBX5	-1	SIGNOR
E2F6	APAF1	-1	dorothea
E2F6	BRCA1	-1	dorothea
E2F6	DEPDC5	-1	dorothea
E2F6	RBBP4	-1	dorothea
E2F6	RBBP8	-1	dorothea
E2F7	E2F1	-1	dorothea
E2F7	SP1	-1	dorothea
E2F8	E2F1	-1	dorothea
E4F1	CCNA2	-1	dorothea
EGR1	ABCB1	1	dorothea
EGR1	ACE	1	dorothea
EGR1	ACHE	1	dorothea
EGR1	ALOX5	1	dorothea
EGR1	APOA1	1	dorothea
EGR1	AR	-1	dorothea
EGR1	ATF3	1	dorothea
EGR1	BCAR1	1	dorothea
EGR1	CAT	1	dorothea
EGR1	CCND1	1	dorothea
EGR1	CD19	1	dorothea
EGR1	CD44	1	dorothea
EGR1	CDK5R1	1	dorothea
EGR1	CDKN1A	1	dorothea
EGR1	CHGA	1	both
EGR1	COL2A1	-1	dorothea
EGR1	CYP2B6	1	dorothea
EGR1	EAPP	1	dorothea
EGR1	EGFR	1	dorothea
EGR1	EP300	1	dorothea
EGR1	F3	1	dorothea
EGR1	FAS	-1	dorothea
EGR1	FCER2	-1	dorothea
EGR1	FGF2	1	dorothea
EGR1	FN1	1	dorothea
EGR1	GDF15	1	dorothea
EGR1	HIF1A	1	dorothea
EGR1	HPSE	1	SIGNOR
EGR1	HSD11B2	-1	dorothea
EGR1	HYAL1	1	dorothea
EGR1	IGF2	1	dorothea
EGR1	IL2	1	dorothea
EGR1	IL3	1	dorothea
EGR1	IL6	-1	dorothea
EGR1	LDLR	1	dorothea
EGR1	LHB	1	dorothea
EGR1	LMTK2	1	dorothea
EGR1	MMP14	1	dorothea
EGR1	MYB	-1	dorothea
EGR1	NAB2	1	dorothea
EGR1	PCSK2	1	dorothea
EGR1	PDGFB	1	dorothea
EGR1	PDGFC	1	dorothea
EGR1	PITX1	1	SIGNOR
EGR1	PLAU	1	dorothea
EGR1	PLAUR	1	dorothea
EGR1	PPARG	-1	both
EGR1	PTEN	1	dorothea
EGR1	PTGES	1	dorothea
EGR1	PTGS2	-1	dorothea
EGR1	PTP4A1	1	dorothea
EGR1	RBL2	1	dorothea
EGR1	RELA	-1	dorothea
EGR1	SF1	1	SIGNOR
EGR1	SLC4A2	1	dorothea
EGR1	SLC9A3	1	dorothea
EGR1	SOD1	1	dorothea
EGR1	STIM1	1	dorothea
EGR1	SYN1	1	dorothea
EGR1	TCF4	1	dorothea
EGR1	TMPO	1	dorothea
EGR1	TNF	1	dorothea
EGR1	TP53	1	dorothea
EGR1	UBE2S	1	dorothea
EGR1	VEGFA	1	dorothea
EGR1	WNT4	-1	dorothea
EGR2	CEBPB	1	SIGNOR
EGR2	FASLG	-1	dorothea
EGR3	NAB2	1	dorothea
EHF	SPRR1B	1	dorothea
ELF1	MEIS1	1	dorothea
ELF2	VCP	1	dorothea
ELF3	SPRR2A	1	dorothea
ELK1	FOSL1	1	dorothea
ELK1	MUC4	1	SIGNOR
ELK1	PRKCA	1	both
ELK1	PSEN1	1	dorothea
ELK4	FOS	1	dorothea
ELK4	INSIG2	1	SIGNOR
EMX1	NRP1	1	SIGNOR
EN1	FGF8	-1	SIGNOR
EN1	UTRN	-1	dorothea
EN2	FGF8	-1	SIGNOR
EPAS1	CA9	1	dorothea
EPAS1	FLT1	1	dorothea
EPAS1	SERPINE1	1	dorothea
EPAS1	VEGFA	1	dorothea
ERF	ETS2	-1	dorothea
ERG	CDH5	1	both
ERG	CLDN5	1	SIGNOR
ERG	ENG	1	dorothea
ERG	FGF2	-1	dorothea
ERG	ICAM1	-1	dorothea
ERG	VIM	1	dorothea
ERG	VWF	1	dorothea
ERG	WNT1	1	SIGNOR
ERG	WNT3A	1	SIGNOR
ESR1	AR	1	dorothea
ESR1	BCL2	1	dorothea
ESR1	BLM	1	dorothea
ESR1	BTG2	-1	dorothea
ESR1	CCND1	1	both
ESR1	CD24	-1	dorothea
ESR1	CDKN1A	1	dorothea
ESR1	CDKN1B	-1	dorothea
ESR1	CRH	-1	dorothea
ESR1	CRHBP	1	dorothea
ESR1	CTNNB1	-1	dorothea
ESR1	CYP19A1	1	dorothea
ESR1	CYP1A1	-1	dorothea
ESR1	CYP2C19	-1	dorothea
ESR1	E2F1	1	dorothea
ESR1	EGF	1	dorothea
ESR1	ESR2	1	SIGNOR
ESR1	F12	1	dorothea
ESR1	FOXP1	1	dorothea
ESR1	GREB1	1	dorothea
ESR1	HSPB1	1	dorothea
ESR1	JUN	1	dorothea
ESR1	JUNB	1	dorothea
ESR1	KDR	1	dorothea
ESR1	KRT19	1	dorothea
ESR1	MACROD1	1	dorothea
ESR1	NQO1	-1	dorothea
ESR1	NRF1	1	dorothea
ESR1	OXT	-1	dorothea
ESR1	PGR	1	dorothea
ESR1	PIK3R1	1	SIGNOR
ESR1	PIK3R2	1	SIGNOR
ESR1	PLAC1	1	dorothea
ESR1	PMAIP1	1	dorothea
ESR1	PPARG	-1	both
ESR1	PTMA	-1	dorothea
ESR1	RARA	1	dorothea
ESR1	SERPINE1	1	dorothea
ESR1	TAC3	1	dorothea
ESR1	TERT	1	dorothea
ESR1	TFF1	1	dorothea
ESR1	TGFA	1	dorothea
