source_genesymbol	target_genesymbol	regulation	source
TLX1	PPP2CB	-1	SIGNOR
TLX1	PPP2CA	-1	SIGNOR
HOXD12	MEIS1	1	SIGNOR
HOXD12	MAFG	-1	SIGNOR
HOXD12	MAFK	-1	SIGNOR
HOXD12	MAF	-1	SIGNOR
HOXD12	MAFF	-1	SIGNOR
HOXD12	MAFB	-1	SIGNOR
HOXD13	MEIS1	1	SIGNOR
MSX2	DLX5	-1	SIGNOR
DLX5	MSX2	-1	SIGNOR
MSX2	SPEN	1	SIGNOR
FBN1	TGFB1	1	SIGNOR
FBN1	FBLN5	-1	SIGNOR
HNF1B	CREB1	1	SIGNOR
HNF1B	ATF1	1	SIGNOR
TRIM23	TBK1	1	SIGNOR
TRIM23	TRAF6	1	SIGNOR
PPARG	ACADM	-1	SIGNOR
PPARG	PTEN	-1	SIGNOR
PPARG	HDAC1	-1	SIGNOR
PBX1	HOXB1	1	SIGNOR
PBX1	MYOD1	1	SIGNOR
ID1	MYOD1	-1	SIGNOR
ID1	TCF4	-1	SIGNOR
ID1	AKT1	1	SIGNOR
ID1	TCF12	-1	SIGNOR
ID1	MYOD1_TCF3	-1	SIGNOR
ID1	MYOD1_TCF12	-1	SIGNOR
ID1	MYOD1_TCF4	-1	SIGNOR
SOX3	CTNNB1	-1	SIGNOR
STAT1	IRF2	1	SIGNOR
STAT1	NFKB1_RELA	-1	SIGNOR
STAT6	STAT1	-1	SIGNOR
STAT6	NFKB1_RELA	-1	SIGNOR
STAT5A	FOXP3	1	SIGNOR
NCOA1	STAT5B	1	SIGNOR
RFX3	FOXJ1	1	SIGNOR
SOX9	MITF	1	SIGNOR
SOX9	OTX2	1	SIGNOR
LHX1	OTX2	1	SIGNOR
POU3F4	POU3F3	1	SIGNOR
POU3F4	POU3F2	1	SIGNOR
CEBPA	USF1	1	SIGNOR
MECP2	MET	-1	SIGNOR
MECP2	CREB1	1	SIGNOR
MECP2	DNMT1	1	SIGNOR
MECP2	OPRK1	1	SIGNOR
MECP2	GAMT	1	SIGNOR
PRRX1	SRF	1	SIGNOR
PRRX1	MAFF	-1	SIGNOR
PRRX1	MAFB	-1	SIGNOR
FOXA1	NFIB	1	SIGNOR
FOXA1	NFIX	1	SIGNOR
PKNOX1	HOXB1	1	SIGNOR
PKNOX1	PBX1	1	SIGNOR
PKNOX1	HOXA1	1	SIGNOR
MAX	MXD4	-1	SIGNOR
MAX	MGA	1	SIGNOR
MAX	MXD3	1	SIGNOR
MAX	MAD1L1	1	SIGNOR
PITX1	POU1F1	1	SIGNOR
SIM1	ARNT	-1	SIGNOR
SIM1	AHR_ARNT	-1	SIGNOR
SMAD3	MYOD1	-1	SIGNOR
SMAD3	CEBPB	-1	SIGNOR
SMAD3	PAX6	-1	SIGNOR
SMAD3	NKX2-1	-1	SIGNOR
SMAD3	PAX8	-1	SIGNOR
SMAD3	RUNX2	-1	SIGNOR
SMAD3	FOXP3	1	SIGNOR
FGD1	CDC42	1	SIGNOR
IRF9	IFNAR2	1	SIGNOR
FLI1	GATA1	1	SIGNOR
FLI1	KLF1	-1	SIGNOR
KLF1	FLI1	-1	SIGNOR
TFAP4	NFIA	1	SIGNOR
TFAP4	HDAC1	1	SIGNOR
MEF2A	MYOD1	1	SIGNOR
SP2	IRF1	1	SIGNOR
ID2	MYOD1	-1	SIGNOR
ID2	TCF12	-1	SIGNOR
ID2	MYOD1_TCF3	-1	SIGNOR
ID2	MYOD1_TCF12	-1	SIGNOR
ID2	MYOD1_TCF4	-1	SIGNOR
SP4	CRX	1	SIGNOR
SP3	ITGA11	1	SIGNOR
ID3	TCF4	-1	SIGNOR
ID3	TCF12	-1	SIGNOR
ID3	MYOD1_TCF3	-1	SIGNOR
CREB5	JUN	1	SIGNOR
CREB5	ATF2	1	SIGNOR
RELA	JUN	1	SIGNOR
RELA	EGR1	1	SIGNOR
RELA	CITED1	1	SIGNOR
RBPJ	DUSP1	1	SIGNOR
RBPJ	HES1	1	SIGNOR
RBPJ	MAML2	1	SIGNOR
RBPJ	MAML3	1	SIGNOR
