source_genesymbol	target_genesymbol	regulation	source
CTCF	ZNHIT2	-1	dorothea
CUX1	ECT2	-1	dorothea
CUX1	ECT2	-1	dorothea
CUX1	RACGAP1	-1	dorothea
CUX1	RACGAP1	-1	dorothea
DDIT3	ASNS	-1	dorothea
DDIT3	ASNS	-1	dorothea
DDIT3	TNFRSF10B	1	dorothea
DDIT3	TNFRSF10B	1	dorothea
DDIT3	TRIB3	1	dorothea
DDIT3	TRIB3	1	dorothea
E2F1	APAF1	1	dorothea
E2F1	AR	-1	dorothea
E2F1	ASF1B	1	dorothea
E2F1	ATG10	1	dorothea
E2F1	ATM	1	dorothea
E2F1	AURKA	1	dorothea
E2F1	AXIN2	1	dorothea
E2F1	B4GALT1	1	dorothea
E2F1	BBC3	1	dorothea
E2F1	BBC3	1	dorothea
E2F1	BCL2	1	dorothea
E2F1	BIN1	1	dorothea
E2F1	BIRC5	1	dorothea
E2F1	BMI1	1	dorothea
E2F1	BNIP3	1	dorothea
E2F1	BRCA1	1	dorothea
E2F1	CASP7	1	dorothea
E2F1	CCNA2	1	dorothea
E2F1	CCND1	1	dorothea
E2F1	CCND3	1	dorothea
E2F1	CCNE1	1	dorothea
E2F1	CD2AP	1	dorothea
E2F1	CDAN1	1	dorothea
E2F1	CDC25A	1	dorothea
E2F1	CDC45	1	dorothea
E2F1	CDC6	1	dorothea
E2F1	CDCA4	1	dorothea
E2F1	CDCA7	1	dorothea
E2F1	CDK1	1	dorothea
E2F1	CDKN1A	1	dorothea
E2F1	CDKN1C	1	dorothea
E2F1	CDKN2A	1	dorothea
E2F1	CDKN2A	1	dorothea
E2F1	CDKN2C	1	dorothea
E2F1	CDT1	1	dorothea
E2F1	CTNNBIP1	1	dorothea
E2F1	CTNND2	1	dorothea
E2F1	DAPK2	1	dorothea
E2F1	DBF4	1	dorothea
E2F1	DHFR	1	dorothea
E2F1	DIRAS3	-1	dorothea
E2F1	DNMT1	1	dorothea
E2F1	DRAM1	1	dorothea
E2F1	DTL	1	dorothea
E2F1	DUSP1	1	dorothea
E2F3	E2F1	1	dorothea
E2F1	E2F6	1	dorothea
E2F8	E2F1	-1	dorothea
E2F1	ECT2	1	dorothea
E2F1	ERCC1	1	dorothea
ESR1	E2F1	1	dorothea
E2F1	ETV4	1	dorothea
E2F1	FANCA	1	dorothea
E2F1	FANCD2	1	dorothea
E2F1	FBXO43	1	dorothea
E2F1	FBXO5	1	dorothea
E2F1	FGFR1	1	dorothea
E2F1	FHIT	-1	dorothea
E2F1	FLT1	1	dorothea
E2F1	FOXM1	1	dorothea
E2F1	GMNN	1	dorothea
E2F1	H2AC17	1	dorothea
E2F1	HELLS	1	dorothea
HES1	E2F1	-1	dorothea
HIC1	E2F1	-1	dorothea
E2F1	HMGA1	1	dorothea
E2F1	HOXB9	1	dorothea
E2F1	HSPA5	-1	dorothea
E2F1	IRF3	-1	dorothea
E2F1	ISYNA1	1	dorothea
E2F1	JUN	1	dorothea
E2F1	KDR	1	dorothea
E2F1	KIF23	1	dorothea
E2F1	KIF2C	1	dorothea
E2F1	KIR3DL1	1	dorothea
E2F1	MAP1LC3A	1	dorothea
E2F1	MAP1LC3B	1	dorothea
E2F1	MAP3K5	1	dorothea
E2F1	MAPK1	1	dorothea
E2F1	MCM10	1	dorothea
E2F1	MCM5	1	dorothea
E2F1	MCM6	1	dorothea
E2F1	MCM7	1	dorothea
E2F1	MCM8	1	dorothea
E2F1	MCPH1	1	dorothea
E2F1	MDM2	-1	dorothea
E2F1	MEFV	1	dorothea
E2F1	MT1G	1	dorothea
E2F1	MUC4	1	dorothea
E2F1	MYB	1	dorothea
E2F1	MYBL2	1	dorothea
E2F1	MYC	1	dorothea
E2F1	MYCN	1	dorothea
E2F1	NCOA3	1	dorothea
E2F1	NPAT	1	dorothea
NR4A1	E2F1	1	dorothea
PAX8	E2F1	1	dorothea
E2F1	PCNA	1	dorothea
E2F1	PCSK6	1	dorothea
E2F1	PDK4	1	dorothea
E2F1	PLK1	1	dorothea
E2F1	PLK4	1	dorothea
E2F1	PNRC2	-1	dorothea
E2F1	POLA1	1	dorothea
E2F1	POLD1	1	dorothea
E2F1	POLE2	1	dorothea
E2F1	PPARG	1	dorothea
E2F1	PPP1R13B	1	dorothea
E2F1	PTPRO	1	dorothea
E2F1	RACGAP1	1	dorothea
E2F1	RAD51	1	dorothea
E2F1	RASGEF1B	1	dorothea
E2F1	RASGRP1	1	dorothea
E2F1	RB1	1	dorothea
E2F1	RBM38	1	dorothea
E2F1	RELA	1	dorothea
E2F1	RRM1	1	dorothea
E2F1	RRM2	1	dorothea
E2F1	RRP1B	1	dorothea
E2F1	SERPINE1	-1	dorothea
E2F1	SIAH1	1	dorothea
E2F1	SKP2	1	dorothea
E2F1	SP3	-1	dorothea
E2F1	TERT	-1	dorothea
E2F1	THBS1	1	dorothea
E2F1	TK1	1	dorothea
E2F1	TNFSF11	1	dorothea
E2F1	TOP1	1	dorothea
E2F1	TOP2A	1	dorothea
TP53	E2F1	-1	dorothea
E2F1	TP53BP2	1	dorothea
E2F1	TYMS	1	dorothea
E2F1	UHRF1	1	dorothea
E2F1	ULK1	1	dorothea
E2F1	VEGFA	-1	dorothea
E2F1	WWOX	-1	dorothea
E2F1	XRCC1	1	dorothea
E2F1	YBX3	1	dorothea
E2F1	ZEB1	1	dorothea
E2F1	ZNF350	-1	dorothea
E2F2	ASF1B	1	dorothea
E2F2	CDC6	1	dorothea
E2F2	CDCA4	1	dorothea
E2F2	CDCA7	1	dorothea
E2F2	CDT1	1	dorothea
E2F2	E2F1	1	dorothea
E2F2	MAP3K5	1	dorothea
E2F2	MCM10	1	dorothea
E2F2	MCM5	1	dorothea
E2F2	MCM6	1	dorothea
E2F2	MCM7	1	dorothea
E2F2	MYCN	1	dorothea
E2F2	PLK1	1	dorothea
E2F2	PLK4	1	dorothea
E2F3	AURKA	1	dorothea
E2F3	CDC6	1	dorothea
E2F3	CDKN1A	1	dorothea
E2F3	CDKN2A	1	dorothea
E2F3	CDKN2A	1	dorothea
E2F3	MAP3K5	1	dorothea
E2F3	MCM5	1	dorothea
E2F3	MCM6	1	dorothea
E2F3	MCM7	1	dorothea
E2F3	MYCN	1	dorothea
E2F3	PLK1	1	dorothea
E2F3	TP53BP2	1	dorothea
E2F4	ASF1B	1	dorothea
E2F4	BRCA1	-1	dorothea
E2F4	CCND1	1	dorothea
E2F4	CDC25A	1	dorothea
E2F4	CDC6	1	dorothea
E2F4	CDCA4	1	dorothea
E2F4	CDCA7	1	dorothea
E2F4	CDK1	1	dorothea
E2F4	CDKN2C	1	dorothea
E2F4	CDT1	1	dorothea
E2F4	DIRAS3	-1	dorothea
E2F4	E2F1	-1	dorothea
E2F4	FBXO5	1	dorothea
E2F4	GMNN	1	dorothea
E2F4	HCFC1	1	dorothea
E2F4	IKBKG	-1	dorothea
E2F4	JUN	1	dorothea
E2F4	KATNAL1	-1	dorothea
E2F4	LUC7L	-1	dorothea
E2F4	MAP3K5	1	dorothea
E2F4	MCM10	-1	dorothea
E2F4	MCM5	1	dorothea
E2F4	MCM7	1	dorothea
E2F4	NPAT	1	dorothea
E2F4	P4HA2	-1	dorothea
E2F4	PCLAF	-1	dorothea
E2F4	PLK1	-1	dorothea
E2F4	POLD1	1	dorothea
E2F4	PPARG	-1	dorothea
E2F4	RAD51	-1	dorothea
